Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
117,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,28,1992,36,36,3240,36.0,1.33,1.33,3.89,2.58,68.6,0.36,0.17,0.47,0.31,30.6,0.17,0.11,0.03,0.03,20.0,Matches,7956236f
118,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,23,1998,1,1,90,1.0,3.00,3.00,4.00,1.00,25.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,11d8aff0
119,Luís Maximiano,pt POR,GK,Granada,es La Liga,22,1999,35,35,3136,34.8,1.58,1.58,5.09,3.51,71.8,0.23,0.34,0.40,0.20,20.0,0.20,0.14,0.06,0.00,28.6,Matches,3318286e
120,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,31,1989,17,17,1530,17.0,1.59,1.59,4.18,2.59,62.0,0.18,0.41,0.41,0.29,29.4,0.00,0.00,0.00,0.00,,Matches,36c2ca73
121,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,29,1992,34,34,3060,34.0,0.91,0.91,3.00,2.12,75.5,0.56,0.29,0.15,0.41,41.2,0.18,0.18,0.00,0.00,0.0,Matches,33887998
122,Alex Meret,it ITA,GK,Napoli,it Serie A,24,1997,7,7,619,6.9,0.87,0.87,4.20,3.33,79.3,0.58,0.14,0.14,0.29,28.6,0.00,0.00,0.00,0.00,,Matches,9413b19f
123,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,21,2000,38,38,3384,37.6,2.10,2.10,5.85,3.78,66.4,0.21,0.29,0.48,0.13,13.2,0.13,0.13,0.00,0.00,0.0,Matches,6b625ac2
124,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,24,1997,27,27,2430,27.0,1.22,1.22,2.96,1.70,67.5,0.33,0.26,0.41,0.15,14.8,0.30,0.26,0.04,0.00,12.5,Matches,9fa26bc2
125,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,25,1996,34,34,3060,34.0,1.47,1.47,4.03,2.59,65.0,0.38,0.29,0.32,0.12,11.8,0.09,0.06,0.03,0.00,33.3,Matches,c1d95617
126,Jessy Moulin,fr FRA,GK,Troyes,fr Ligue 1,35,1986,7,7,630,7.0,1.14,1.14,3.43,2.29,75.0,0.14,0.43,0.43,0.14,14.3,0.29,0.29,0.00,0.00,0.0,Matches,28a65a2c
127,Florian Müller,de GER,GK,Stuttgart,de Bundesliga,23,1997,30,30,2700,30.0,1.73,1.73,4.63,2.93,65.5,0.23,0.33,0.43,0.13,13.3,0.13,0.13,0.00,0.00,0.0,Matches,cbac6ec9
128,Juan Musso,ar ARG,GK,Atalanta,it Serie A,27,1994,33,33,2932,32.6,1.29,1.29,3.65,2.45,67.2,0.49,0.25,0.25,0.25,24.2,0.12,0.09,0.00,0.03,0.0,Matches,a111cf41
129,Paul Nardi,fr FRA,GK,Lorient,fr Ligue 1,27,1994,22,22,1980,22.0,1.73,1.73,4.14,2.55,62.6,0.14,0.36,0.50,0.18,18.2,0.23,0.18,0.00,0.05,0.0,Matches,2d70dbe5
130,Keylor Navas,cr CRC,GK,Paris S-G,fr Ligue 1,34,1986,21,21,1856,20.6,0.87,0.87,3.79,2.91,79.5,0.53,0.29,0.10,0.34,33.3,0.10,0.10,0.00,0.00,0.0,Matches,ecada4fc
131,Neto,br BRA,GK,Barcelona,es La Liga,32,1989,3,3,270,3.0,1.33,1.33,4.67,3.33,71.4,0.67,0.33,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,a9dc785c
132,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,35,1986,28,28,2510,27.9,0.93,0.93,3.19,2.26,71.9,0.79,0.11,0.07,0.36,35.7,0.04,0.04,0.00,0.00,0.0,Matches,8778c910
133,Alexander Nübel,de GER,GK,Monaco,fr Ligue 1,24,1996,38,38,3420,38.0,1.05,1.05,3.71,2.76,77.3,0.53,0.24,0.24,0.29,28.9,0.24,0.21,0.00,0.03,0.0,Matches,afb0c500
134,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,28,1993,38,38,3420,38.0,1.13,1.13,2.79,1.71,66.0,0.55,0.21,0.24,0.32,31.6,0.21,0.18,0.03,0.00,12.5,Matches,ee8508c0
135,Oier Olazábal,es ESP,GK,Espanyol,es La Liga,31,1989,2,1,135,1.5,0.67,0.67,6.00,5.33,100.0,0.00,0.00,0.67,0.67,100.0,0.67,0.67,0.00,0.00,0.0,Matches,b5bdf144
136,Robin Olsen,se SWE,GK,Aston Villa,eng Premier League,31,1990,1,1,90,1.0,3.00,3.00,5.00,2.00,40.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,e7ee38c3
137,Jonas Omlin,ch SUI,GK,Montpellier,fr Ligue 1,27,1994,29,29,2587,28.7,1.43,1.43,5.51,4.08,75.9,0.35,0.14,0.45,0.28,27.6,0.14,0.10,0.03,0.00,25.0,Matches,c631f952
138,Stefan Ortega,de GER,GK,Arminia,de Bundesliga,28,1992,33,33,2970,33.0,1.61,1.61,5.33,3.79,73.9,0.12,0.39,0.48,0.18,18.2,0.21,0.21,0.00,0.00,0.0,Matches,c1242d4e
139,David Ospina,co COL,GK,Napoli,it Serie A,32,1988,31,31,2790,31.0,0.81,0.81,3.42,2.65,77.4,0.61,0.19,0.19,0.42,41.9,0.03,0.03,0.00,0.00,0.0,Matches,82b1198a
140,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,33,1988,21,21,1875,20.8,1.88,1.87,4.38,2.60,60.4,0.10,0.38,0.43,0.14,14.3,0.14,0.14,0.00,0.00,0.0,Matches,ae7d0ecd
141,Jesús Owono,gq EQG,GK,Alavés,es La Liga,20,2001,1,1,90,1.0,1.00,1.00,4.00,3.00,75.0,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,d6e3d7fb
142,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,29,1992,34,34,3053,33.9,1.77,1.77,4.37,2.51,62.8,0.21,0.15,0.62,0.15,14.7,0.24,0.15,0.09,0.00,37.5,Matches,97852360
143,Daniele Padelli,it ITA,GK,Udinese,it Serie A,35,1985,3,3,270,3.0,2.67,2.67,7.00,4.33,61.9,0.33,0.00,0.67,0.33,33.3,0.00,0.00,0.00,0.00,,Matches,cf1c23d8
144,Ivor Pandur,hr CRO,GK,Hellas Verona,it Serie A,21,2000,3,3,270,3.0,2.00,2.00,5.00,3.00,66.7,0.33,0.00,0.67,0.00,0.0,0.33,0.33,0.00,0.00,0.0,Matches,457cb02f
145,Rui Patrício,pt POR,GK,Roma,it Serie A,33,1988,38,38,3420,38.0,1.13,1.13,3.84,2.74,74.0,0.47,0.24,0.29,0.39,39.5,0.16,0.13,0.03,0.00,16.7,Matches,79b0d6a0
146,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,40,1981,1,1,90,1.0,3.00,3.00,5.00,2.00,40.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,f058ed1f
147,Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,36,1985,1,1,90,1.0,3.00,3.00,7.00,4.00,57.1,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,c41f7379
148,Juan Pérez,es ESP,GK,Osasuna,es La Liga,25,1996,2,2,180,2.0,1.50,1.50,2.00,1.00,25.0,0.00,0.50,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,8f29e08b
149,Mattia Perin,it ITA,GK,Juventus,it Serie A,28,1992,5,5,405,4.5,1.56,1.56,3.56,2.22,56.3,0.44,0.22,0.22,0.22,20.0,0.00,0.00,0.00,0.00,,Matches,4c62d0c8
150,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33,1987,6,6,540,6.0,2.33,2.33,6.33,4.17,65.8,0.17,0.00,0.83,0.17,16.7,0.17,0.17,0.00,0.00,0.0,Matches,c89e8aae
151,Danijel Petković,me MNE,GK,Angers,fr Ligue 1,28,1993,15,15,1350,15.0,1.47,1.47,4.33,3.00,69.2,0.20,0.20,0.60,0.13,13.3,0.13,0.13,0.00,0.00,0.0,Matches,b98cea65
152,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,27,1994,35,35,3150,35.0,1.66,1.66,4.86,3.31,66.5,0.29,0.17,0.54,0.20,20.0,0.03,0.03,0.00,0.00,0.0,Matches,4806ec67
153,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,31,1990,1,0,45,0.5,2.00,2.00,4.00,2.00,100.0,0.00,0.00,0.00,0.00,,2.00,2.00,0.00,0.00,0.0,Matches,f6a06749
154,Julian Pollersbeck,de GER,GK,Lyon,fr Ligue 1,26,1994,6,4,436,4.8,1.25,1.24,5.21,3.96,92.0,0.63,0.00,0.21,0.21,25.0,0.83,0.83,0.00,0.00,0.0,Matches,d6f6ce93
155,Nick Pope,eng ENG,GK,Burnley,eng Premier League,29,1992,36,36,3240,36.0,1.31,1.31,4.58,3.31,74.5,0.19,0.39,0.42,0.25,25.0,0.14,0.14,0.00,0.00,0.0,Matches,4b40d9ca
156,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,22,1999,13,13,1170,13.0,2.23,2.23,4.69,2.46,55.7,0.23,0.38,0.38,0.15,15.4,0.31,0.15,0.15,0.00,50.0,Matches,c252c705
157,Alejandro Primo,es ESP,GK,Levante,es La Liga,17,2004,1,1,90,1.0,1.00,1.00,2.00,1.00,50.0,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,f38284bb
158,Ivan Provedel,it ITA,GK,Spezia,it Serie A,27,1994,31,31,2761,30.7,1.69,1.70,5.37,3.78,73.9,0.29,0.16,0.52,0.23,22.6,0.36,0.29,0.00,0.07,0.0,Matches,277da414
159,Ionuț Radu,ro ROU,GK,Inter,it Serie A,24,1997,1,1,90,1.0,2.00,2.00,3.00,1.00,33.3,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,67f649be
160,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,25,1996,3,3,270,3.0,1.67,1.67,5.67,3.67,76.5,0.00,0.67,0.33,0.33,33.3,0.67,0.33,0.33,0.00,50.0,Matches,0dfce079
161,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,25,1995,38,38,3420,38.0,1.16,1.16,4.24,3.05,75.8,0.29,0.34,0.37,0.29,28.9,0.18,0.13,0.03,0.03,16.7,Matches,58ad9383
162,Diant Ramaj,de GER,GK,Eint Frankfurt,de Bundesliga,19,2001,1,1,90,1.0,1.00,1.00,4.00,3.00,75.0,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,b90c4a43
163,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,23,1998,34,34,3060,34.0,1.15,1.15,3.76,2.65,73.4,0.62,0.09,0.29,0.35,35.3,0.18,0.15,0.00,0.03,0.0,Matches,466fb2c5
164,Nicola Ravaglia,it ITA,GK,Sampdoria,it Serie A,32,1988,1,0,5,0.1,10.0,18.00,10.0,0.00,100.0,0.00,0.00,0.00,0.00,,10.0,10.0,0.00,0.00,0.0,Matches,d7a35008
165,David Raya,es ESP,GK,Brentford,eng Premier League,25,1995,24,24,2160,24.0,1.13,1.13,4.29,3.17,77.7,0.42,0.21,0.38,0.33,33.3,0.17,0.17,0.00,0.00,0.0,Matches,98ea5115
166,Manolo Reina,es ESP,GK,Mallorca,es La Liga,36,1985,21,21,1890,21.0,1.24,1.24,3.57,2.33,68.0,0.29,0.43,0.29,0.38,38.1,0.14,0.10,0.05,0.00,33.3,Matches,605eb473
167,Pepe Reina,es ESP,GK,Lazio,it Serie A,38,1982,15,15,1350,15.0,1.93,1.93,4.00,2.07,58.3,0.40,0.27,0.33,0.13,13.3,0.33,0.27,0.00,0.07,0.0,Matches,e358587b
168,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,26,1995,35,35,3150,35.0,0.91,0.91,3.20,2.26,75.0,0.43,0.31,0.26,0.54,54.3,0.14,0.11,0.03,0.00,20.0,Matches,374ee424
169,Sergio Rico,es ESP,GK,Mallorca,es La Liga,27,1993,14,14,1260,14.0,2.07,2.07,4.07,2.07,54.4,0.29,0.00,0.71,0.07,7.1,0.29,0.21,0.07,0.00,25.0,Matches,5f0241b2
170,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,27,1993,1,0,23,0.3,3.33,3.91,10.0,6.67,66.7,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches,5f0241b2
171,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,32,1988,31,31,2790,31.0,1.45,1.45,5.00,3.61,72.9,0.32,0.19,0.48,0.23,22.6,0.19,0.10,0.06,0.03,40.0,Matches,9f941969
172,Leonardo Román,es ESP,GK,Mallorca,es La Liga,21,2000,2,2,180,2.0,2.50,2.50,7.00,5.00,71.4,0.00,0.00,1.00,0.00,0.0,0.50,0.50,0.00,0.00,0.0,Matches,924ff27e
173,Sergio Romero,ar ARG,GK,Venezia,it Serie A,34,1987,16,16,1440,16.0,2.06,2.06,6.56,4.63,74.3,0.19,0.25,0.56,0.19,18.8,0.38,0.38,0.00,0.00,0.0,Matches,1e26e376
174,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,30,1991,1,0,37,0.4,2.50,2.43,5.00,2.50,50.0,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches,7b5f516f
175,John Ruddy,eng ENG,GK,Wolves,eng Premier League,34,1986,2,1,135,1.5,2.00,2.00,4.67,2.67,57.1,0.00,0.67,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,da8b19e2
176,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,29,1992,32,32,2880,32.0,0.88,0.87,3.13,2.25,75.0,0.44,0.28,0.28,0.44,43.8,0.13,0.09,0.03,0.00,25.0,Matches,625c144a
177,Mathew Ryan,au AUS,GK,Real Sociedad,es La Liga,29,1992,3,3,270,3.0,1.67,1.67,5.00,3.33,73.3,0.67,0.00,0.33,0.33,33.3,0.33,0.33,0.00,0.00,0.0,Matches,4535e4bb
178,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,28,1992,7,7,630,7.0,0.71,0.71,2.57,2.00,72.2,0.71,0.29,0.00,0.29,28.6,0.00,0.00,0.00,0.00,,Matches,a70b8345
179,José Sá,pt POR,GK,Wolves,eng Premier League,28,1993,37,37,3285,36.5,1.10,1.10,4.38,3.32,80.6,0.41,0.14,0.44,0.30,29.7,0.27,0.25,0.00,0.03,0.0,Matches,903b6e8b
180,Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,37,1984,1,1,90,1.0,2.00,2.00,3.00,1.00,33.3,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,74733221
181,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,23,1997,37,37,3329,37.0,1.14,1.14,3.81,2.68,72.3,0.32,0.38,0.27,0.30,29.7,0.11,0.08,0.00,0.03,0.0,Matches,6a713852
182,Giacomo Satalino,it ITA,GK,Sassuolo,it Serie A,22,1999,1,0,8,0.1,0.00,0.00,10.0,10.0,100.0,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches,b1f0b916
183,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34,1986,37,37,3330,37.0,1.57,1.57,5.05,3.46,72.7,0.35,0.27,0.38,0.19,18.9,0.24,0.19,0.05,0.00,22.2,Matches,53af52f3
184,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,26,1995,21,21,1890,21.0,1.33,1.33,4.67,3.33,71.4,0.48,0.19,0.33,0.14,14.3,0.05,0.00,0.05,0.00,100.0,Matches,87436846
185,Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,29,1992,25,25,2175,24.2,2.11,2.11,5.08,2.98,62.6,0.29,0.21,0.50,0.17,16.0,0.21,0.21,0.00,0.00,0.0,Matches,0d55d942
186,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,29,1992,37,37,3330,37.0,1.16,1.16,3.51,2.38,70.0,0.43,0.32,0.24,0.35,35.1,0.11,0.11,0.00,0.00,0.0,Matches,834b5c4c
187,Adrian Šemper,hr CRO,GK,Genoa,it Serie A,23,1998,1,1,90,1.0,1.00,1.00,4.00,3.00,75.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,f02dde20
188,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,30,1991,16,16,1392,15.5,1.55,1.55,5.03,3.48,73.1,0.13,0.52,0.26,0.06,6.3,0.19,0.19,0.00,0.00,0.0,Matches,343f753a
189,Rui Silva,pt POR,GK,Betis,es La Liga,27,1994,22,21,1964,21.8,0.96,0.96,3.49,2.52,75.0,0.50,0.18,0.28,0.37,38.1,0.09,0.09,0.00,0.00,0.0,Matches,ea83bfa6
190,Marco Silvestri,it ITA,GK,Udinese,it Serie A,30,1991,35,35,3150,35.0,1.43,1.43,4.03,2.63,68.1,0.29,0.40,0.31,0.20,20.0,0.20,0.14,0.00,0.06,0.0,Matches,0d422df7
191,Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,34,34,3060,34.0,0.91,0.91,3.26,2.38,74.8,0.38,0.32,0.29,0.35,35.3,0.09,0.09,0.00,0.00,0.0,Matches,5dcf3e90
192,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,33,1988,1,1,90,1.0,1.00,1.00,3.00,2.00,66.7,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,0d8a37c2
193,Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,34,1987,37,37,3330,37.0,1.59,1.59,4.86,3.30,69.4,0.11,0.43,0.46,0.27,27.0,0.14,0.11,0.03,0.00,20.0,Matches,10dc46f0
194,Antonio Sivera,es ESP,GK,Alavés,es La Liga,24,1996,4,3,277,3.1,1.29,1.30,5.16,3.87,81.3,0.00,0.32,0.65,0.32,33.3,0.32,0.32,0.00,0.00,0.0,Matches,9970da54
195,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30,1991,36,36,3240,36.0,1.47,1.47,4.83,3.39,74.1,0.31,0.25,0.44,0.33,33.3,0.25,0.22,0.03,0.00,11.1,Matches,ab4449d6
196,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32,1988,33,33,2970,33.0,1.82,1.82,5.52,3.64,68.7,0.36,0.24,0.39,0.15,15.2,0.15,0.09,0.06,0.00,40.0,Matches,420c18a1
197,David Soria,es ESP,GK,Getafe,es La Liga,28,1993,38,38,3414,37.9,1.08,1.08,3.48,2.40,70.5,0.18,0.40,0.40,0.34,34.2,0.11,0.05,0.03,0.03,33.3,Matches,8f8c6934
198,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,29,1992,5,5,450,5.0,1.00,1.00,3.60,2.60,83.3,0.00,0.60,0.40,0.40,40.0,0.40,0.40,0.00,0.00,0.0,Matches,ac4003af
199,Jason Steele,eng ENG,GK,Brighton,eng Premier League,30,1990,1,1,90,1.0,2.00,2.00,5.00,3.00,60.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,28300a16
200,Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,28,1992,1,1,90,1.0,3.00,3.00,4.00,1.00,25.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,a8a3d139
201,Zack Steffen,us USA,GK,Manchester City,eng Premier League,26,1995,1,1,90,1.0,0.00,0.00,2.00,2.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,Matches,42130443
202,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,26,1995,23,23,2070,23.0,1.26,1.26,3.74,2.52,67.4,0.52,0.26,0.22,0.30,30.4,0.04,0.04,0.00,0.00,0.0,Matches,339fe0e8
203,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,31,1990,33,33,2970,33.0,0.88,0.88,3.18,2.21,75.2,0.55,0.27,0.18,0.36,36.4,0.18,0.09,0.09,0.00,50.0,Matches,01b8a2b2
204,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,35,1986,6,6,540,6.0,1.67,1.67,4.00,2.33,66.7,0.67,0.17,0.17,0.17,16.7,0.50,0.33,0.17,0.00,33.3,Matches,b056e3da
205,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,29,1992,35,35,3150,35.0,0.97,0.97,3.11,2.11,70.6,0.54,0.26,0.20,0.31,31.4,0.09,0.06,0.03,0.00,33.3,Matches,6f51e382
206,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,31,1990,32,31,2862,31.8,1.35,1.35,3.14,1.82,59.0,0.50,0.16,0.31,0.28,29.0,0.09,0.06,0.03,0.00,33.3,Matches,e1b0a70d
207,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,31,1990,32,32,2880,32.0,1.44,1.44,4.91,3.50,73.2,0.31,0.34,0.34,0.16,15.6,0.13,0.13,0.00,0.00,0.0,Matches,ce17b5eb
208,Philipp Tschauner,de GER,GK,RB Leipzig,de Bundesliga,35,1985,1,0,3,0.0,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,73e2f6eb
209,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,32,1988,6,6,540,6.0,1.83,1.83,3.83,2.17,56.5,0.33,0.17,0.50,0.17,16.7,0.17,0.17,0.00,0.00,0.0,Matches,7d3e7da6
210,Benjamin Uphoff,de GER,GK,Freiburg,de Bundesliga,27,1993,2,2,180,2.0,3.50,3.50,6.00,2.50,41.7,0.00,0.50,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,a9a6fc08
211,Rúben Vezo,pt POR,DF,Levante,es La Liga,27,1994,1,1,4,26.9,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,c67cd65c
212,Guglielmo Vicario,it ITA,GK,Empoli,it Serie A,24,1996,38,38,3420,38.0,1.84,1.84,5.68,3.95,69.9,0.26,0.29,0.45,0.18,18.4,0.26,0.13,0.05,0.08,28.6,Matches,77d6fd4d
213,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,28,1993,1,1,90,1.0,1.00,1.00,5.00,4.00,80.0,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,d3ce0e89
214,Freddie Woodman,eng ENG,GK,Newcastle Utd,eng Premier League,24,1997,4,4,360,4.0,3.00,3.00,5.50,2.25,54.5,0.00,0.25,0.75,0.00,0.0,0.75,0.50,0.25,0.00,33.3,Matches,19e50035
215,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,26,1994,32,32,2880,32.0,1.31,1.31,3.75,2.44,68.3,0.38,0.19,0.44,0.31,31.3,0.16,0.13,0.03,0.00,20.0,Matches,5c4bf6ba
216,Luca Zidane,fr FRA,GK,Rayo Vallecano,es La Liga,23,1998,8,8,645,7.2,1.81,1.81,5.14,3.33,64.9,0.00,0.14,0.83,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,c818c4d9
217,Jeroen Zoet,nl NED,GK,Spezia,it Serie A,30,1991,7,7,630,7.0,2.71,2.71,6.14,3.29,58.1,0.14,0.14,0.71,0.00,0.0,0.29,0.14,0.14,0.00,50.0,Matches,cc1a0c57
218,Petar Zovko,ba BIH,GK,Spezia,it Serie A,19,2002,1,0,29,0.3,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches,54f6afe3
