Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
37,Diego Conde,es ESP,GK,Getafe,es La Liga,22,1998,1,0,6,0.1,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,10.0,,0.00,0.00,0.00,0.00,,Matches,4eae5bc4
38,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,1987,37,37,3322,36.9,1.71,1.71,4.63,2.93,67.8,0.35,0.30,0.33,0.08,8.1,0.24,0.22,0.03,0.00,11.1,Matches,8cabdc1e
39,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25,25,2250,25.0,2.48,2.48,5.32,2.88,57.1,0.12,0.32,0.56,0.00,0.0,0.20,0.20,0.00,0.00,0.0,Matches,2434f24a
40,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,1992,36,36,3240,36.0,0.81,0.81,3.33,2.53,77.5,0.72,0.19,0.08,0.44,44.4,0.08,0.06,0.03,0.00,33.3,Matches,1840e36d
41,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,1994,35,35,3150,35.0,1.80,1.80,4.80,2.97,66.1,0.17,0.29,0.54,0.06,5.7,0.23,0.17,0.06,0.00,25.0,Matches,f554e29b
42,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,23,1998,2,2,180,2.0,1.50,1.50,2.50,1.00,60.0,0.50,0.50,0.00,0.00,0.0,0.50,0.50,0.00,0.00,0.0,Matches,dee3013b
43,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8,8,720,8.0,1.88,1.87,4.63,2.88,64.9,0.00,0.63,0.38,0.00,0.0,0.25,0.25,0.00,0.00,0.0,Matches,cde3309f
44,Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,27,1994,15,15,1304,14.5,2.28,2.28,4.55,2.34,54.5,0.21,0.28,0.48,0.21,20.0,0.21,0.21,0.00,0.00,0.0,Matches,e8c5dd4d
45,Javier Díaz,es ESP,GK,Sevilla,es La Liga,24,1997,1,1,90,1.0,1.00,1.00,2.00,1.00,50.0,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,17a1299d
46,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,31,30,2772,30.8,1.20,1.20,4.09,2.86,76.2,0.36,0.26,0.36,0.29,30.0,0.29,0.23,0.06,0.00,22.2,Matches,fc70e345
47,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38,38,3420,38.0,1.13,1.13,3.58,2.39,71.3,0.32,0.26,0.42,0.37,36.8,0.21,0.11,0.11,0.00,50.0,Matches,b6160ad0
48,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23,1998,24,23,2116,23.5,1.53,1.53,4.21,2.77,65.7,0.26,0.17,0.55,0.21,21.7,0.09,0.09,0.00,0.00,0.0,Matches,62124972
49,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,29,1992,6,6,540,6.0,0.83,0.83,3.17,2.33,73.7,0.67,0.33,0.00,0.67,66.7,0.00,0.00,0.00,0.00,,Matches,ac295d9e
50,Jaume Doménech,es ESP,GK,Valencia,es La Liga,30,1990,4,3,343,3.8,1.05,1.05,2.89,2.11,63.6,0.53,0.00,0.26,0.26,33.3,0.00,0.00,0.00,0.00,,Matches,c9cb972b
51,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17,17,1530,17.0,1.00,1.00,3.59,2.65,73.8,0.76,0.12,0.12,0.29,29.4,0.06,0.06,0.00,0.00,0.0,Matches,08f5afaa
52,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23,1997,7,7,556,6.2,1.29,1.29,4.19,2.74,73.1,0.48,0.00,0.48,0.32,28.6,0.32,0.16,0.16,0.00,50.0,Matches,085e71a7
53,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16,16,1440,16.0,1.56,1.56,3.56,2.00,57.9,0.31,0.25,0.44,0.44,43.8,0.06,0.06,0.00,0.00,0.0,Matches,fbf83734
54,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26,26,2340,26.0,1.35,1.35,4.08,2.77,67.9,0.50,0.15,0.35,0.31,30.8,0.04,0.04,0.00,0.00,0.0,Matches,3a949a25
55,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37,37,3330,37.0,0.70,0.70,2.24,1.54,69.9,0.76,0.16,0.08,0.54,54.1,0.03,0.03,0.00,0.00,0.0,Matches,3bb7b8b4
56,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,4,3,284,3.2,1.88,1.90,5.00,3.13,75.0,0.00,0.63,0.31,0.31,33.3,0.63,0.63,0.00,0.00,0.0,Matches,67669ce7
57,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3,3,270,3.0,2.33,2.33,7.00,4.67,76.2,0.67,0.00,0.33,0.00,0.0,0.67,0.67,0.00,0.00,0.0,Matches,83e0eeb4
58,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37,37,3330,37.0,1.35,1.35,4.38,3.00,70.4,0.43,0.22,0.35,0.22,21.6,0.16,0.05,0.08,0.03,60.0,Matches,9328b835
59,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,10,9,855,9.5,1.47,1.47,5.68,4.32,75.9,0.21,0.11,0.63,0.21,22.2,0.11,0.11,0.00,0.00,0.0,Matches,9f5a610b
60,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,13,11,1105,12.3,1.22,1.22,3.66,2.44,68.9,0.57,0.24,0.08,0.24,27.3,0.08,0.08,0.00,0.00,0.0,Matches,2c127b6f
61,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13,13,1166,13.0,2.23,2.24,6.23,3.92,65.4,0.08,0.31,0.54,0.15,15.4,0.15,0.08,0.08,0.00,50.0,Matches,a01c3d54
62,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12,12,1080,12.0,2.00,2.00,5.75,3.92,66.7,0.25,0.17,0.58,0.08,8.3,0.08,0.08,0.00,0.00,0.0,Matches,f127d782
63,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1,1,90,1.0,5.00,5.00,8.00,3.00,37.5,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,a2565f79
