Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
16,Sargis Adamyan,am ARM,MFFW,Hoffenheim,de Bundesliga,28,1993,3.7,0.00,0.00,0.00,1.35,2.16,1.08,1.35,0.27,1.62,0.00,0.00,0.00,6.49,0.81,3.78,17.6,Matches,22919e97
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,0.26,0.00,0.00,4.10,0.51,0.00,2.82,2.82,2.82,0.00,0.00,0.00,8.97,0.77,1.28,37.5,Matches,7587446d
18,Amine Adli,fr FRA,MFFW,Leverkusen,de Bundesliga,21,2000,14.0,0.21,0.00,0.00,1.93,2.00,0.57,1.50,0.79,1.00,0.00,0.00,0.00,4.43,0.86,2.07,29.3,Matches,dcfb17f4
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,0.20,0.00,0.00,0.84,1.08,0.16,4.54,1.47,1.08,0.00,0.00,0.00,5.98,0.48,0.76,38.7,Matches,26777636
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,0.20,0.00,0.00,2.65,0.82,0.00,1.43,1.22,1.02,0.00,0.00,0.00,5.51,1.02,0.82,55.6,Matches,f9c927de
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,0.68,0.14,0.14,2.03,3.24,0.54,1.08,0.41,0.41,0.00,0.00,0.00,4.19,1.49,2.03,42.3,Matches,0154d290
22,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,25,1996,18.0,0.22,0.00,0.00,1.33,1.22,0.06,2.50,1.39,1.22,0.00,0.06,0.00,4.39,1.72,1.50,53.4,Matches,355c883a
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,,Matches,a2c1a8d3
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,0.29,0.00,0.00,1.49,0.67,0.00,0.24,2.50,1.49,0.00,0.05,0.00,7.16,1.25,1.39,47.3,Matches,8bc8829a
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,0.15,0.07,0.00,2.63,1.75,0.00,1.61,0.58,1.90,0.00,0.00,0.00,4.89,1.09,1.02,51.7,Matches,46fa7204
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,0.10,0.03,0.00,0.66,0.53,0.03,0.03,0.79,0.59,0.03,0.07,0.00,5.07,3.13,1.68,65.1,Matches,288e1e13
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,0.00,0.00,0.00,0.59,1.18,0.59,1.76,0.00,0.59,0.00,0.00,0.00,1.76,1.76,1.18,60.0,Matches,4d034881
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,0.17,0.00,0.00,1.34,1.22,0.04,2.69,1.85,2.23,0.00,0.00,0.04,6.60,1.39,1.68,45.2,Matches,3dd738a1
29,Álvaro Aguirre,es ESP,MF,Rayo Vallecano,es La Liga,21,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,,Matches,93b054dc
30,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,de Bundesliga,19,2002,0.7,0.00,0.00,0.00,2.86,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,1.43,4.29,25.0,Matches,a6c58494
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,0.40,0.00,0.00,1.40,0.67,0.00,0.40,1.47,1.73,0.00,0.00,0.00,7.20,1.20,0.87,58.1,Matches,eab957a3
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,0.18,0.00,0.00,1.88,1.79,0.00,0.54,1.70,0.80,0.00,0.00,0.00,6.88,1.25,0.45,73.7,Matches,48b28bfd
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,0.03,0.00,0.00,0.34,0.61,0.03,0.10,1.30,0.89,0.00,0.00,0.03,5.60,2.12,1.60,56.9,Matches,18abe173
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,0.25,0.00,0.00,1.13,1.75,0.06,2.13,1.75,1.19,0.00,0.00,0.00,6.31,1.06,1.56,40.5,Matches,246d153b
35,Rayan Aït Nouri,fr FRA,DFMF,Wolves,eng Premier League,20,2001,20.3,0.20,0.00,0.00,0.69,0.99,0.15,4.73,1.08,1.77,0.05,0.00,0.00,6.31,0.84,0.64,56.7,Matches,9b398aea
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,0.23,0.00,0.00,0.54,0.72,0.00,0.77,1.17,0.81,0.00,0.00,0.00,4.91,2.21,1.40,61.3,Matches,a8c0acb7
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,0.16,0.03,0.00,1.32,1.18,0.46,0.56,0.26,0.82,0.07,0.00,0.03,2.83,4.18,3.36,55.5,Matches,462475ed
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,0.12,0.00,0.00,0.76,0.96,0.04,0.12,1.39,0.92,0.00,0.00,0.04,6.53,2.03,1.39,59.3,Matches,89ac64a6
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,0.20,0.00,0.00,1.12,1.22,0.10,2.20,2.49,1.51,0.00,0.05,0.00,5.46,1.80,1.56,53.6,Matches,f2a68b97
40,Marley Aké,fr FRA,FWMF,Juventus,it Serie A,20,2001,0.9,1.11,0.00,0.00,6.67,2.22,0.00,1.11,1.11,0.00,0.00,0.00,0.00,3.33,1.11,0.00,100.0,Matches,414e1f69
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,0.00,0.00,0.00,0.87,0.19,0.00,0.10,0.78,0.87,0.00,0.00,0.00,4.17,3.59,1.17,75.5,Matches,eaeca114
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,0.00,0.00,0.00,2.14,2.86,0.00,4.29,0.00,0.00,0.00,0.00,0.00,7.86,0.71,1.43,33.3,Matches,b8bd60fe
