Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
691,Ángel Di María,ar ARG,FWMF,Paris S-G,fr Ligue 1,33,1988,26,19,1645,18.3,0.27,0.38,0.27,0.00,0.00,0.11,0.00,0.27,0.38,0.66,0.27,0.66,0.33,0.33,0.44,0.77,0.33,0.44,0.77,0.33,0.77,Matches,19cda00b
692,Francesco Di Mariano,it ITA,FW,Venezia,it Serie A,25,1996,1,1,62,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.09,0.09,0.00,0.09,Matches,35a2557c
693,Francesco Di Tacchio,it ITA,MF,Salernitana,it Serie A,31,1990,18,14,1255,13.9,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.02,0.06,0.04,0.02,0.06,0.04,0.06,Matches,b5c3ff9f
694,Boulaye Dia,sn SEN,FW,Villarreal,es La Liga,24,1996,25,13,1269,14.1,0.35,0.35,0.35,0.00,0.00,0.21,0.00,0.35,0.35,0.71,0.35,0.71,0.42,0.42,0.19,0.62,0.42,0.19,0.62,0.42,0.62,Matches,244bc2c8
695,Moussa Diaby,fr FRA,MFFW,Leverkusen,de Bundesliga,22,1999,32,32,2760,30.7,0.42,0.39,0.42,0.00,0.03,0.33,0.03,0.42,0.39,0.82,0.42,0.82,0.27,0.25,0.32,0.57,0.28,0.32,0.60,0.25,0.57,Matches,aeed5c06
696,Yadaly Diaby,fr FRA,MFFW,Clermont Foot,fr Ligue 1,20,2000,5,0,67,0.7,0.00,0.00,0.00,0.00,0.00,1.43,1.43,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,0.32,0.00,0.32,0.32,0.32,Matches,5630a6e0
697,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,24,1996,29,21,1948,21.6,0.00,0.05,0.00,0.00,0.00,0.51,0.00,0.00,0.05,0.05,0.00,0.05,0.04,0.04,0.02,0.06,0.04,0.02,0.06,0.04,0.06,Matches,d2110326
698,Ibrahim Diakité,gn GUI,MF,Reims,fr Ligue 1,17,2003,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d8c19a60
699,Abdou Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,25,1996,12,10,877,9.7,0.00,0.10,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.00,0.10,0.01,0.01,0.09,0.10,0.01,0.09,0.10,0.01,0.10,Matches,fc62f087
700,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,26,1995,31,16,1541,17.1,0.64,0.06,0.53,0.12,0.12,0.12,0.00,0.64,0.06,0.70,0.53,0.58,0.54,0.49,0.15,0.64,0.54,0.15,0.69,0.48,0.64,Matches,6605d143
701,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,22,1999,23,10,1023,11.4,0.00,0.18,0.00,0.00,0.00,0.09,0.00,0.00,0.18,0.18,0.00,0.18,0.05,0.05,0.11,0.17,0.05,0.12,0.16,0.05,0.16,Matches,11ff3d56
702,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,17,2004,4,1,109,1.2,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6d0fe035
703,Stéphane Diarra,fr FRA,MFFW,Lorient,fr Ligue 1,22,1998,15,5,525,5.8,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.33,0.55,0.23,0.32,0.55,0.23,0.55,Matches,29939a1d
704,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,24,1997,29,27,2402,26.7,0.07,0.15,0.07,0.00,0.00,0.19,0.00,0.07,0.15,0.22,0.07,0.22,0.10,0.10,0.12,0.21,0.10,0.11,0.21,0.10,0.21,Matches,31c69ef1
705,Krepin Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,22,1999,8,3,285,3.2,0.31,0.00,0.31,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32,0.06,0.06,0.09,0.13,0.05,0.08,0.13,0.05,0.13,Matches,8104e41e
706,Amadou Diawara,gn GUI,MF,Roma,it Serie A,24,1997,4,2,170,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.02,0.03,0.05,0.02,0.05,Matches,bf309d24
707,Brahim Díaz,es ESP,MF,Milan,it Serie A,21,1999,31,25,1855,20.6,0.15,0.15,0.15,0.00,0.00,0.19,0.00,0.15,0.15,0.29,0.15,0.29,0.21,0.21,0.16,0.37,0.21,0.15,0.37,0.21,0.37,Matches,407feb71
708,Javier Díaz,es ESP,GK,Sevilla,es La Liga,24,1997,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,17a1299d
709,Luis Díaz,co COL,FW,Liverpool,eng Premier League,24,1997,13,11,958,10.6,0.38,0.28,0.38,0.00,0.00,0.00,0.00,0.38,0.28,0.66,0.38,0.66,0.42,0.42,0.28,0.70,0.42,0.28,0.70,0.42,0.70,Matches,4a1a9578
710,Víctor Díaz,es ESP,DF,Granada,es La Liga,33,1988,22,18,1500,16.7,0.06,0.00,0.06,0.00,0.00,0.30,0.00,0.06,0.00,0.06,0.06,0.06,0.05,0.05,0.01,0.05,0.05,0.01,0.05,0.05,0.05,Matches,3624ce4c
711,Daniel Didavi,de GER,MFFW,Stuttgart,de Bundesliga,31,1990,10,2,277,3.1,0.00,0.32,0.00,0.00,0.00,0.32,0.00,0.00,0.32,0.32,0.00,0.32,0.29,0.29,0.23,0.55,0.31,0.23,0.54,0.31,0.54,Matches,d3096421
712,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,21,2000,25,11,975,10.8,0.65,0.09,0.56,0.09,0.09,0.00,0.09,0.65,0.09,0.74,0.55,0.65,0.78,0.70,0.19,0.90,0.78,0.19,0.97,0.70,0.89,Matches,40774c6b
713,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,27,1994,35,35,3071,34.1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.02,0.06,0.04,0.02,0.06,0.04,0.06,Matches,ac861941
714,Elhadji Dieye,sn SEN,MFFW,Saint-Étienne,fr Ligue 1,19,2002,5,0,34,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,0.26,0.00,0.26,0.26,0.26,Matches,6a04bb7c
715,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,28,1993,16,16,1269,14.1,0.00,0.28,0.00,0.00,0.00,0.14,0.00,0.00,0.28,0.28,0.00,0.28,0.04,0.04,0.20,0.23,0.04,0.20,0.24,0.04,0.24,Matches,1b84dbe1
716,Lucas Digne,fr FRA,DF,Everton,eng Premier League,28,1993,13,13,1170,13.0,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.14,0.17,0.03,0.14,0.17,0.03,0.17,Matches,1b84dbe1
717,Mitchell Dijks,nl NED,DFFW,Bologna,it Serie A,28,1993,16,7,694,7.7,0.00,0.26,0.00,0.00,0.00,0.26,0.00,0.00,0.26,0.26,0.00,0.26,0.06,0.06,0.16,0.22,0.07,0.16,0.23,0.07,0.23,Matches,0a3065c8
718,Javairô Dilrosun,nl NED,MFFW,Bordeaux,fr Ligue 1,23,1998,32,19,1732,19.2,0.10,0.31,0.10,0.00,0.00,0.16,0.00,0.10,0.31,0.42,0.10,0.42,0.17,0.17,0.18,0.35,0.17,0.18,0.35,0.17,0.35,Matches,34a0f5ff
719,Javairô Dilrosun,nl NED,MF,Hertha BSC,de Bundesliga,23,1998,2,1,138,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.04,0.00,0.04,0.04,0.04,Matches,34a0f5ff
720,Federico Dimarco,it ITA,DF,Inter,it Serie A,23,1997,32,13,1430,15.9,0.13,0.19,0.13,0.00,0.06,0.06,0.00,0.13,0.19,0.31,0.13,0.31,0.26,0.21,0.38,0.58,0.26,0.38,0.64,0.21,0.59,Matches,970b8574
721,Landry Dimata,be BEL,FWMF,Espanyol,es La Liga,23,1997,17,4,541,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.10,0.35,0.26,0.10,0.35,0.26,0.35,Matches,b5f63410
722,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,31,30,2772,30.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fc70e345
723,Junior Dina Ebimbe,fr FRA,MF,Paris S-G,fr Ligue 1,20,2000,10,4,316,3.5,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.03,0.09,0.06,0.02,0.09,0.06,0.09,Matches,95bb6ddc
724,Tristan Dingomé,cm CMR,MFFW,Troyes,fr Ligue 1,30,1991,25,12,1077,12.0,0.17,0.33,0.17,0.00,0.00,0.25,0.00,0.17,0.33,0.50,0.17,0.50,0.09,0.09,0.27,0.37,0.10,0.27,0.36,0.10,0.36,Matches,92b56413
725,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,20,2001,11,5,579,6.4,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.04,0.00,0.05,0.04,0.05,Matches,6de23ab0
726,Issa Diop,fr FRA,DF,West Ham,eng Premier League,24,1997,13,10,963,10.7,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,0.02,0.02,0.03,0.04,0.02,0.02,0.04,0.02,0.04,Matches,a712ca2b
727,Sofiane Diop,fr FRA,MFFW,Monaco,fr Ligue 1,21,2000,30,24,1948,21.6,0.28,0.19,0.28,0.00,0.00,0.28,0.00,0.28,0.18,0.46,0.28,0.46,0.26,0.26,0.19,0.45,0.26,0.19,0.45,0.26,0.45,Matches,19053e31
728,Andy Diouf,fr FRA,MF,Rennes,fr Ligue 1,18,2003,5,0,14,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.50,0.00,1.99,1.99,0.00,1.99,Matches,9b5237b1
729,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,23,1997,4,0,23,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7f622eef
730,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,23,1998,32,30,2721,30.2,0.03,0.00,0.03,0.00,0.00,0.17,0.00,0.03,0.00,0.03,0.03,0.03,0.08,0.08,0.04,0.12,0.08,0.04,0.12,0.08,0.12,Matches,ad82197c
731,Filippo Distefano,it ITA,FW,Fiorentina,it Serie A,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2110f96c
732,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38,38,3420,38.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b6160ad0
733,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,21,2000,28,26,2329,25.9,0.04,0.04,0.04,0.00,0.00,0.15,0.00,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.02,0.08,0.06,0.02,0.08,0.06,0.08,Matches,b2336681
734,Djené,tg TOG,DF,Getafe,es La Liga,29,1991,35,35,3115,34.6,0.00,0.03,0.00,0.00,0.00,0.32,0.03,0.00,0.03,0.03,0.00,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,Matches,a4971d84
735,Moussa Djenepo,ml MLI,MF,Southampton,eng Premier League,23,1998,12,5,457,5.1,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.08,0.33,0.27,0.07,0.34,0.27,0.34,Matches,254147d4
736,Koffi Djidji,ci CIV,DF,Torino,it Serie A,28,1992,25,21,1735,19.3,0.00,0.00,0.00,0.00,0.00,0.31,0.05,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.01,0.04,0.04,0.00,0.04,0.04,0.04,Matches,933d3b51
737,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,26,1994,31,30,2694,29.9,0.03,0.00,0.03,0.00,0.00,0.33,0.03,0.03,0.00,0.03,0.03,0.03,0.07,0.07,0.02,0.09,0.07,0.02,0.09,0.07,0.09,Matches,43e7a164
738,Bryan Djile Nokoué,cm CMR,DFMF,Saint-Étienne,fr Ligue 1,19,2002,2,0,57,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,75186a6a
739,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,28,1993,31,25,2256,25.1,0.04,0.04,0.04,0.00,0.00,0.24,0.00,0.04,0.04,0.08,0.04,0.08,0.10,0.10,0.07,0.17,0.09,0.07,0.17,0.09,0.17,Matches,6eee05f1
740,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23,1998,24,23,2116,23.5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,62124972
741,Naïs Djouahra,fr FRA,MFFW,Real Sociedad,es La Liga,21,1999,7,1,219,2.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.21,0.33,0.13,0.20,0.34,0.13,0.34,Matches,3594a357
742,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,29,1992,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ac295d9e
743,Lewis Dobbin,eng ENG,FWMF,Everton,eng Premier League,18,2003,3,0,32,0.4,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e814e1cf
744,Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,29,1992,15,9,875,9.7,0.21,0.41,0.21,0.00,0.00,0.00,0.00,0.21,0.41,0.62,0.21,0.62,0.28,0.28,0.26,0.53,0.27,0.26,0.53,0.27,0.53,Matches,d557d734
745,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,19,2002,14,4,469,5.2,0.19,0.38,0.19,0.00,0.00,0.38,0.00,0.19,0.38,0.58,0.19,0.58,0.15,0.15,0.35,0.50,0.16,0.34,0.50,0.16,0.50,Matches,fffea3e5
746,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,23,1997,26,19,1492,16.6,0.36,0.12,0.24,0.12,0.12,0.00,0.00,0.36,0.12,0.48,0.24,0.36,0.42,0.33,0.07,0.39,0.42,0.07,0.49,0.33,0.39,Matches,cc83b74d
747,Jaume Doménech,es ESP,GK,Valencia,es La Liga,30,1990,4,3,343,3.8,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c9cb972b
748,Brandon Domingues,fr FRA,MFFW,Troyes,fr Ligue 1,21,2000,11,1,231,2.6,0.38,0.00,0.38,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,0.31,0.31,0.15,0.46,0.31,0.15,0.46,0.31,0.46,Matches,2a00c6c0
749,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,20,2001,8,3,344,3.8,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.03,0.00,0.03,0.03,0.03,Matches,3521abfe
750,Mario Dominguez,es ESP,FW,Valencia,es La Liga,17,2004,2,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d709cd5c
751,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,23,1998,28,23,2015,22.4,0.00,0.13,0.00,0.00,0.00,0.36,0.00,0.00,0.13,0.13,0.00,0.13,0.06,0.06,0.11,0.17,0.06,0.11,0.17,0.06,0.17,Matches,20b3a502
752,John Donald,es ESP,DF,Elche,es La Liga,20,2000,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.05,0.20,0.18,0.03,0.21,0.18,0.21,Matches,5e95c000
753,Lee Dongjun,kr KOR,MFFW,Hertha BSC,de Bundesliga,24,1997,4,1,118,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,0.24,0.00,0.24,0.24,0.24,Matches,96d0b6f0
754,Anastasios Donis,gr GRE,FWMF,Reims,fr Ligue 1,24,1996,13,3,370,4.1,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.10,0.39,0.29,0.10,0.39,0.29,0.39,Matches,0f26fd24
755,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17,17,1530,17.0,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,08f5afaa
756,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,23,1998,30,27,2324,25.8,0.04,0.00,0.04,0.00,0.00,0.31,0.00,0.04,0.00,0.04,0.04,0.04,0.01,0.01,0.03,0.04,0.01,0.03,0.04,0.01,0.04,Matches,7f73bdf4
757,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,23,1997,35,35,3063,34.0,0.15,0.00,0.15,0.00,0.00,0.24,0.03,0.15,0.00,0.15,0.15,0.15,0.10,0.10,0.02,0.12,0.10,0.02,0.12,0.10,0.12,Matches,67ac5bb8
758,Jodel Dossou,bj BEN,MFFW,Clermont Foot,fr Ligue 1,29,1992,35,23,2008,22.3,0.13,0.04,0.13,0.00,0.00,0.18,0.00,0.13,0.04,0.18,0.13,0.18,0.28,0.28,0.11,0.39,0.28,0.11,0.39,0.28,0.39,Matches,a1dbfcb1
759,Lohann Doucet,fr FRA,MFDF,Nantes,fr Ligue 1,18,2002,2,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,dff0c299
760,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,28,1993,30,29,2537,28.2,0.07,0.14,0.07,0.00,0.00,0.21,0.00,0.07,0.14,0.21,0.07,0.21,0.11,0.11,0.11,0.21,0.10,0.11,0.21,0.10,0.21,Matches,02b29014
761,Cheick Doucouré,ml MLI,MF,Lens,fr Ligue 1,21,2000,34,33,2946,32.7,0.03,0.12,0.03,0.00,0.00,0.21,0.03,0.03,0.12,0.15,0.03,0.15,0.06,0.06,0.13,0.19,0.06,0.13,0.19,0.06,0.19,Matches,ce4f40c7
762,Fodé Doucouré,ml MLI,DFFW,Reims,fr Ligue 1,20,2001,3,1,154,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,1bfe34dc
763,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,18,2003,1,0,17,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0512a60a
764,Kamory Doumbia,ml MLI,MFFW,Reims,fr Ligue 1,18,2003,8,2,352,3.9,0.51,0.26,0.51,0.00,0.00,0.26,0.00,0.51,0.26,0.77,0.51,0.77,0.21,0.21,0.18,0.38,0.22,0.17,0.39,0.22,0.39,Matches,9226aa22
765,Moussa Doumbia,ml MLI,FW,Reims,fr Ligue 1,26,1994,4,0,86,1.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.30,0.00,0.30,1.02,0.00,1.02,0.28,0.28,Matches,6481421d
766,Souleyman Doumbia,ci CIV,DFFW,Angers,fr Ligue 1,24,1996,27,27,2219,24.7,0.00,0.04,0.00,0.00,0.00,0.40,0.04,0.00,0.04,0.04,0.00,0.04,0.04,0.04,0.06,0.11,0.04,0.07,0.10,0.04,0.10,Matches,9daeac61
767,Kieran Dowell,eng ENG,MF,Norwich City,eng Premier League,23,1997,19,11,912,10.1,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.10,0.10,0.20,0.10,0.20,0.12,0.12,0.15,0.28,0.12,0.15,0.27,0.12,0.27,Matches,2f6ec02a
768,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23,1997,7,7,556,6.2,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,085e71a7
769,Radu Drăgușin,ro ROU,DF,Sampdoria,it Serie A,19,2002,13,4,620,6.9,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.03,0.07,0.05,0.03,0.07,0.05,0.07,Matches,620922ed
770,Radu Drăgușin,ro ROU,DF,Salernitana,it Serie A,19,2002,7,5,488,5.4,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,620922ed
771,Cody Drameh,eng ENG,DFMF,Leeds United,eng Premier League,19,2001,3,1,128,1.4,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,e0d1510a
772,Julian Draxler,de GER,FWMF,Paris S-G,fr Ligue 1,27,1993,18,5,548,6.1,0.33,0.16,0.33,0.00,0.00,0.00,0.00,0.33,0.16,0.49,0.33,0.49,0.25,0.25,0.39,0.64,0.25,0.39,0.64,0.25,0.64,Matches,1a992676
773,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16,16,1440,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fbf83734
774,Domingos Duarte,pt POR,DF,Granada,es La Liga,26,1995,21,19,1687,18.7,0.05,0.00,0.05,0.00,0.00,0.37,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.04,0.09,0.05,0.04,0.08,0.05,0.08,Matches,93090f69
775,Óscar Duarte,cr CRC,DF,Levante,es La Liga,32,1989,23,20,1773,19.7,0.10,0.00,0.10,0.00,0.00,0.25,0.00,0.10,0.00,0.10,0.10,0.10,0.07,0.07,0.02,0.09,0.07,0.02,0.09,0.07,0.09,Matches,aa0ac32d
776,Rubén Duarte,es ESP,DF,Alavés,es La Liga,25,1995,34,31,2621,29.1,0.00,0.14,0.00,0.00,0.00,0.41,0.03,0.00,0.14,0.14,0.00,0.14,0.01,0.01,0.08,0.10,0.01,0.08,0.10,0.01,0.10,Matches,1fe0492d
777,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,26,1994,23,20,1742,19.4,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.11,0.03,0.08,0.11,0.03,0.11,Matches,ff0ab48c
778,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26,26,2340,26.0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3a949a25
779,Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,26,1994,31,20,1611,17.9,0.11,0.00,0.11,0.00,0.00,0.28,0.00,0.11,0.00,0.11,0.11,0.11,0.26,0.26,0.15,0.41,0.26,0.15,0.41,0.26,0.41,Matches,79ca3e23
780,Jeremy Dudziak,tn TUN,MFFW,Greuther Fürth,de Bundesliga,25,1995,22,15,1134,12.6,0.16,0.00,0.16,0.00,0.00,0.08,0.00,0.16,0.00,0.16,0.16,0.16,0.20,0.20,0.11,0.31,0.20,0.11,0.31,0.20,0.31,Matches,5a8d6540
781,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,29,1992,18,15,1436,16.0,0.06,0.00,0.06,0.00,0.00,0.44,0.00,0.06,0.00,0.06,0.06,0.06,0.11,0.11,0.01,0.13,0.11,0.02,0.13,0.11,0.13,Matches,7314bba4
782,Unai Dufur,es ESP,DF,Osasuna,es La Liga,22,1999,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,c261b5dd
783,Denzel Dumfries,nl NED,DF,Inter,it Serie A,25,1996,33,21,2028,22.5,0.22,0.18,0.22,0.00,0.00,0.13,0.00,0.22,0.18,0.40,0.22,0.40,0.27,0.27,0.19,0.46,0.27,0.19,0.46,0.27,0.46,Matches,481c9ece
784,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,29,1991,3,2,198,2.2,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3fe6bd8c
785,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,28,1993,33,21,1931,21.5,0.09,0.09,0.09,0.00,0.00,0.14,0.00,0.09,0.09,0.19,0.09,0.19,0.05,0.05,0.13,0.17,0.05,0.12,0.17,0.05,0.17,Matches,528492ea
786,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,29,1991,29,29,2573,28.6,0.03,0.00,0.03,0.00,0.00,0.10,0.03,0.03,0.00,0.03,0.03,0.03,0.06,0.06,0.02,0.08,0.06,0.02,0.08,0.06,0.08,Matches,282f75f3
