Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
29,Álvaro Aguirre,es ESP,MF,Rayo Vallecano,es La Liga,21,2000,1,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,93b054dc
30,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,de Bundesliga,19,2002,3,0,61,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a6c58494
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,15,1350,15.0,0.00,0.07,0.00,0.00,0.00,0.40,0.00,0.00,0.07,0.07,0.00,0.07,0.03,0.03,0.07,0.10,0.03,0.07,0.10,0.03,0.10,Matches,eab957a3
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,25,11,1004,11.2,0.09,0.09,0.09,0.00,0.00,0.18,0.00,0.09,0.09,0.18,0.09,0.18,0.20,0.20,0.08,0.28,0.19,0.08,0.28,0.19,0.28,Matches,48b28bfd
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,32,30,2637,29.3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,Matches,18abe173
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,21,17,1437,16.0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.10,0.13,0.02,0.10,0.12,0.02,0.12,Matches,246d153b
35,Rayan Aït Nouri,fr FRA,DFMF,Wolves,eng Premier League,20,2001,23,20,1828,20.3,0.05,0.10,0.05,0.00,0.00,0.20,0.00,0.05,0.10,0.15,0.05,0.15,0.04,0.04,0.07,0.11,0.04,0.07,0.11,0.04,0.11,Matches,9b398aea
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,24,23,1995,22.2,0.05,0.14,0.05,0.00,0.00,0.23,0.00,0.05,0.14,0.18,0.05,0.18,0.04,0.04,0.10,0.14,0.04,0.10,0.14,0.04,0.14,Matches,a8c0acb7
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,36,31,2738,30.4,0.39,0.26,0.30,0.10,0.10,0.16,0.03,0.39,0.26,0.66,0.30,0.56,0.37,0.29,0.25,0.54,0.36,0.25,0.62,0.29,0.54,Matches,462475ed
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,26,25,2261,25.1,0.04,0.00,0.04,0.00,0.00,0.12,0.00,0.04,0.00,0.04,0.04,0.04,0.08,0.08,0.00,0.08,0.08,0.01,0.08,0.08,0.08,Matches,89ac64a6
