Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
11,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,2.28,0.35,0.18,0.00,0.00,2.32,0.39,0.04,+0.04,4.91,13.2,37.3,24.7,7.02,34.0,31.6,7.72,61.4,46.3,14.4,0.70,4.9,1.93,1.94,17.1,Matches,be13e5a8
12,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2.0,1.00,0.00,0.00,0.00,0.00,1.35,0.30,0.35,+0.37,2.50,9.50,26.3,17.5,3.00,40.0,33.0,6.50,38.5,32.1,12.0,1.00,8.3,0.00,0.00,5.5,Matches,0acda699
13,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33.0,1.73,0.06,0.00,0.27,0.03,1.56,0.33,-0.14,-0.14,4.18,11.9,35.1,39.5,5.61,26.1,29.0,6.55,24.5,28.8,12.7,0.82,6.4,1.97,1.97,16.7,Matches,47064058
14,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3.0,2.67,0.33,0.00,1.00,0.33,1.40,0.18,-0.93,-0.94,6.67,20.7,32.3,18.0,1.67,74.1,48.9,10.3,71.0,51.3,16.7,1.00,6.0,0.67,0.67,10.7,Matches,7b4de647
15,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,21.5,2.28,0.14,0.00,0.19,0.09,1.90,0.28,-0.29,-0.29,6.84,15.8,43.4,18.2,3.53,52.6,39.5,8.47,73.1,49.9,15.3,0.56,3.6,0.65,0.65,12.7,Matches,4f8ce0e1
16,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37.0,0.95,0.11,0.03,0.03,0.00,1.15,0.27,0.21,+0.21,3.92,10.2,38.4,20.9,4.57,30.2,30.5,7.03,55.4,43.0,13.6,0.84,6.2,0.89,0.89,13.6,Matches,8a2248b4
17,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1.0,3.00,0.00,0.00,0.00,0.00,2.30,0.38,-0.70,-0.66,4.00,19.0,21.1,23.0,4.00,52.2,39.7,7.00,100.0,58.7,12.0,0.00,0.0,0.00,0.00,,Matches,ec1f737d
18,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10.0,0.80,0.20,0.00,0.00,0.00,1.02,0.18,0.22,+0.22,5.30,18.8,28.2,24.0,3.70,50.0,39.4,7.80,87.2,58.6,14.8,0.70,4.7,1.00,1.00,14.6,Matches,ee833569
19,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13.0,1.46,0.23,0.15,0.46,0.00,1.22,0.28,-0.24,-0.24,3.54,8.54,41.4,18.5,6.62,27.0,31.8,7.54,46.9,39.0,14.8,1.62,10.9,1.08,1.08,12.5,Matches,28dabd43
20,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,1997,19.0,1.95,0.26,0.05,0.26,0.11,1.65,0.29,-0.19,-0.19,4.58,16.0,28.6,23.3,6.26,46.5,37.0,7.16,72.1,49.3,10.4,1.00,9.6,2.95,2.95,18.8,Matches,28dabd43
21,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,1998,9.3,2.15,0.22,0.11,0.11,0.00,1.72,0.25,-0.43,-0.43,4.95,13.9,35.7,24.3,5.91,38.5,33.8,9.25,48.8,38.5,13.8,0.86,6.3,0.43,0.43,11.7,Matches,380a15e2
