Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
89,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,795,28,175,527,101,0,795,10,12,83.3,9,6,573,3,Matches,5a2cb25d
90,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,2614,425,1538,1005,80,32,2614,7,9,77.8,8,8,1862,2,Matches,e34fc66d
91,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,1858,31,204,843,838,128,1858,58,108,53.7,88,38,1327,153,Matches,9f1893b9
92,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,392,14,26,160,209,68,392,6,15,40.0,53,19,298,79,Matches,b4cf5806
93,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,61,1,6,26,30,7,61,2,2,100.0,9,3,43,11,Matches,dc008610
94,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,676,66,267,298,116,11,676,9,18,50.0,15,7,286,6,Matches,6ea23758
95,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,2163,101,540,1308,339,35,2163,20,25,80.0,54,26,1365,46,Matches,ef9c1c95
96,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,210,14,89,91,36,2,210,4,9,44.4,7,3,103,8,Matches,3724baa1
97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,1211,66,327,725,169,25,1211,13,14,92.9,13,9,742,25,Matches,e0b113a7
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,889,34,209,466,226,3,889,20,29,69.0,14,21,512,20,Matches,3024e383
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,1698,46,400,698,613,62,1698,14,19,73.7,30,19,1034,76,Matches,30941e96
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,14,0,4,7,3,0,14,0,0,,0,0,4,0,Matches,39aa05a7
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,493,21,105,204,187,14,493,8,16,50.0,16,4,291,13,Matches,bbafc0c4
102,Janis Antiste,fr FRA,FWMF,Spezia,it Serie A,18,2002,8.8,310,6,62,119,134,40,310,8,21,38.1,24,7,189,43,Matches,38d9ce53
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,2151,295,1116,970,94,34,2151,17,22,77.3,25,13,1405,8,Matches,5e66fa06
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,36,11,28,8,0,0,36,0,0,,1,0,21,0,Matches,4a5f2032
105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,1084,17,59,395,648,158,1083,50,93,53.8,136,72,869,207,Matches,ac05f970
106,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,454,4,43,152,266,51,454,13,34,38.2,57,18,277,63,Matches,0a3f6cde
107,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,23,1998,27.8,1798,14,177,996,659,107,1798,70,129,54.3,72,52,1394,153,Matches,a5db0bec
108,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12.0,775,4,101,424,267,22,775,15,40,37.5,31,17,529,45,Matches,b94b8be1
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,1240,103,472,573,208,6,1240,14,30,46.7,23,5,676,25,Matches,feb5d3ab
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,1550,32,283,967,327,15,1550,32,50,64.0,42,36,900,34,Matches,58afe001
111,Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,1027,22,102,435,504,36,1023,17,38,44.7,43,24,641,80,Matches,0847b5a5
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,1281,32,324,813,151,14,1281,7,9,77.8,22,8,826,14,Matches,56413b1f
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,1783,180,938,791,67,14,1783,5,8,62.5,11,4,1149,3,Matches,27a013f7
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,1863,176,784,997,94,28,1863,6,8,75.0,17,6,1323,9,Matches,2bef2bca
115,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,19,2001,0.3,11,0,1,3,7,1,11,0,1,0.0,1,2,7,0,Matches,05e8ca6d
116,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,42,40,42,0,0,0,42,0,0,,0,0,20,0,Matches,2f965a72
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,90,6,28,38,24,1,90,0,0,,5,4,27,2,Matches,94e01ec6
118,Matias Arezo,uy URU,FWMF,Granada,es La Liga,18,2002,1.8,66,1,4,21,42,8,66,2,5,40.0,9,3,40,12,Matches,484ebdb0
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,274,19,92,91,92,6,274,3,7,42.9,8,3,113,7,Matches,fdd60087
120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,491,9,42,186,272,75,491,16,42,38.1,45,13,324,89,Matches,68c720b5
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,940,22,124,403,426,40,940,27,54,50.0,40,27,659,62,Matches,97333cf5
122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,1193,19,72,522,613,156,1190,37,59,62.7,81,36,923,206,Matches,00459419
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,2162,104,513,1277,396,5,2162,12,14,85.7,31,17,1262,16,Matches,86e119e0
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,147,126,147,0,0,0,147,0,0,,0,0,80,0,Matches,28d596a0
125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,861,34,165,496,215,18,861,22,34,64.7,27,15,515,26,Matches,963a328b
126,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,227,10,30,114,88,41,227,9,14,64.3,17,8,160,26,Matches,a820e429
127,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,5.2,242,12,73,99,72,4,242,3,10,30.0,13,6,122,14,Matches,759d8dd7
128,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,17.9,579,6,66,245,287,57,579,20,36,55.6,60,19,386,85,Matches,13ddc856
129,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,1455,82,459,856,156,16,1455,12,23,52.2,26,13,765,18,Matches,e26fcca3
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6.0,249,208,248,1,0,0,249,0,0,,0,0,104,0,Matches,9f0ea33f
131,Alejandro Asensio,es ESP,MF,Rayo Vallecano,es La Liga,20,2000,0.1,11,0,1,4,6,2,11,0,0,,2,0,8,0,Matches,b4c23f36
132,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19.2,1055,11,91,409,562,79,1055,27,40,67.5,19,25,828,115,Matches,45af8a54
133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,10,1,4,1,5,0,10,0,0,,0,0,6,0,Matches,b391383a
134,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,321,35,100,158,67,9,321,4,5,80.0,9,5,157,12,Matches,a69cc629
135,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,de Bundesliga,18,2002,0.1,9,0,0,4,5,0,9,0,1,0.0,0,0,9,2,Matches,35f67a30
136,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15.0,897,48,275,499,128,5,897,7,10,70.0,18,7,593,16,Matches,0fdcef0e
137,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,1679,22,112,678,906,192,1674,51,83,61.4,67,32,1287,263,Matches,7dcf86f6
138,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,455,26,120,185,155,17,455,5,10,50.0,10,6,250,23,Matches,b026bbf6
139,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,475,21,154,212,114,11,475,4,5,80.0,8,3,222,18,Matches,dfc85b89
140,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,895,27,219,404,287,30,895,18,39,46.2,19,19,536,50,Matches,6a827d8e
141,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,11.5,316,2,33,115,169,49,315,2,7,28.6,16,4,219,43,Matches,d5dd5f1f
142,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,1989,12.0,341,5,11,163,168,63,341,4,6,66.7,29,8,259,86,Matches,d5dd5f1f
143,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,28.4,1079,955,1077,2,0,0,1079,0,0,,0,0,501,0,Matches,649b01d8
144,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,1580,97,609,621,372,14,1580,23,44,52.3,29,13,889,35,Matches,3cd3b384
145,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,fr Ligue 1,24,1997,0.9,26,0,1,16,9,3,26,0,0,,7,3,19,7,Matches,97bfa797
146,Ludwig Augustinsson,se SWE,DF,Sevilla,es La Liga,27,1994,8.8,620,30,217,225,180,11,620,2,2,100.0,12,4,379,17,Matches,9fec8860
147,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,851,31,282,377,196,23,851,14,19,73.7,15,11,549,30,Matches,5c2b4f07
148,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,27,1994,20.8,782,20,90,308,393,52,781,18,32,56.3,48,22,550,83,Matches,253a06b9
149,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,828,32,56,391,398,131,826,35,63,55.6,140,41,601,160,Matches,e5478b87
150,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1990,1.5,33,4,11,18,4,0,33,0,0,,0,0,15,0,Matches,6a1f66a7
151,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,29,1991,22.4,1083,15,151,511,447,67,1083,34,71,47.9,84,77,776,94,Matches,da052c14
152,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,15.0,999,116,477,504,21,5,999,1,1,100.0,2,0,691,1,Matches,2200181e
153,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,1881,178,906,756,243,36,1881,23,37,62.2,42,10,1142,29,Matches,420d7c7d
