Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
508,Mehdi Chahiri,ma MAR,DF,Strasbourg,fr Ligue 1,25,1996,0.2,10,0,2,2,6,3,10,0,0,,0,2,4,1,Matches,1787195f
509,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,22,1999,16.1,1443,68,479,834,138,10,1443,10,12,83.3,10,7,1071,6,Matches,5515376c
510,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,26,1995,1.9,122,18,52,56,17,1,122,0,0,,1,1,67,2,Matches,dc6f5bdd
511,Calum Chambers,eng ENG,DF,Aston Villa,eng Premier League,26,1995,9.2,573,99,328,223,26,9,573,0,1,0.0,3,1,356,1,Matches,dc6f5bdd
512,Dylan Chambost,fr FRA,MFFW,Troyes,fr Ligue 1,23,1997,8.4,554,9,119,325,115,9,554,2,3,66.7,9,4,381,20,Matches,dbde4959
513,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,31,1990,13.5,672,39,187,284,206,26,672,3,8,37.5,15,6,350,27,Matches,b3b7f5a6
514,Chapela,es ESP,MF,Cádiz,es La Liga,22,1999,4.4,127,7,41,52,39,5,127,3,5,60.0,8,3,65,8,Matches,9ed40a69
515,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,26,1994,29.8,1595,251,902,652,53,17,1595,1,4,25.0,5,1,934,3,Matches,16aa7d4c
516,Xavier Chavalerin,fr FRA,MF,Troyes,fr Ligue 1,30,1991,30.2,1315,52,340,643,344,40,1315,14,26,53.8,37,14,867,56,Matches,279ddf6a
517,Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,30,1991,2.4,119,7,35,57,28,5,119,2,2,100.0,1,1,64,3,Matches,279ddf6a
518,Justin Che,us USA,FWDF,Hoffenheim,de Bundesliga,17,2003,0.5,27,0,4,16,7,2,27,0,0,,0,0,19,4,Matches,3c569f37
519,Chema,es ESP,MF,Getafe,es La Liga,29,1992,0.5,17,1,5,10,2,0,17,0,0,,0,0,7,1,Matches,7f203b54
520,Rayan Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,17,2003,4.9,323,1,14,147,165,26,323,17,37,45.9,16,11,247,29,Matches,b34c63a5
521,Denis Cheryshev,ru RUS,MF,Valencia,es La Liga,30,1990,6.3,247,8,43,89,121,24,247,6,11,54.5,16,3,124,25,Matches,0ac94a23
522,Daniel Chesters,eng ENG,MF,West Ham,eng Premier League,19,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches,240c8ab6
523,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,36,1984,15.0,1100,138,483,559,63,7,1100,2,4,50.0,7,1,727,3,Matches,e85fb9b8
524,Federico Chiesa,it ITA,MFFW,Juventus,it Serie A,23,1997,9.6,419,7,57,166,203,46,419,21,41,51.2,20,15,266,46,Matches,b0f7e36c
525,Ben Chilwell,eng ENG,DF,Chelsea,eng Premier League,24,1996,6.0,411,9,83,141,192,24,411,3,6,50.0,13,3,250,23,Matches,d2424d1b
526,Chiquinho,pt POR,DFFW,Wolves,eng Premier League,21,2000,2.3,146,2,23,52,73,16,146,10,17,58.8,9,6,101,16,Matches,dc6c2f02
527,Vlad Chiricheș,ro ROU,DF,Sassuolo,it Serie A,31,1989,25.6,1566,227,810,741,26,9,1566,4,6,66.7,13,9,1015,2,Matches,c316607a
528,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,24,1997,29.3,1917,22,287,1293,346,21,1917,8,16,50.0,14,9,1380,42,Matches,68a26d51
529,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,19,2001,32.6,1550,134,594,824,142,15,1550,8,21,38.1,30,5,944,16,Matches,7909ffa4
530,Hamza Choudhury,eng ENG,DFMF,Leicester City,eng Premier League,23,1997,3.2,207,18,94,106,8,2,207,2,3,66.7,8,2,124,0,Matches,7d2d3329
531,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,25,1996,16.6,1472,145,643,770,67,5,1472,4,4,100.0,3,1,1058,3,Matches,1cb49278
532,Max Christiansen,de GER,MF,Greuther Fürth,de Bundesliga,24,1996,22.8,1229,101,384,753,103,7,1229,5,12,41.7,16,8,632,6,Matches,e7b899b8
533,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,eng Premier League,17,2003,3.3,163,3,22,87,56,11,163,6,10,60.0,9,6,121,15,Matches,b2f9c73e
534,Samuel Chukwueze,ng NGA,MF,Villarreal,es La Liga,22,1999,14.8,665,4,71,236,376,108,665,67,126,53.2,47,20,511,79,Matches,b8a642fc
535,Víctor Chust,es ESP,DF,Cádiz,es La Liga,21,2000,20.3,984,124,523,427,41,18,984,4,5,80.0,3,1,564,0,Matches,ec1a731e
536,Riccardo Ciervo,it ITA,MFDF,Sampdoria,it Serie A,19,2002,2.5,94,2,19,42,35,7,94,2,4,50.0,4,1,55,12,Matches,da77b60b
537,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,1989,16.2,482,401,480,2,0,0,482,0,0,,0,0,178,0,Matches,04ac8285
538,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,27,1994,12.2,695,42,195,434,75,6,695,10,15,66.7,12,11,370,8,Matches,9a0408b6
539,Moustapha Cissé,gn GUI,FW,Atalanta,it Serie A,17,2003,0.4,21,0,1,8,12,3,21,1,1,100.0,5,1,17,3,Matches,ee3c4b3f
540,Giorgio Cittadini,it ITA,DF,Atalanta,it Serie A,19,2002,0.0,3,1,1,1,1,0,3,0,0,,0,0,0,0,Matches,e4ba67f2
541,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,31,1989,11.3,463,73,258,176,32,21,463,4,5,80.0,3,2,258,5,Matches,2b91cf8e
542,Alexis Claude-Maurice,fr FRA,MF,Nice,fr Ligue 1,23,1998,2.3,142,1,12,59,71,11,142,3,8,37.5,5,5,95,11,Matches,741418c3
543,Jonathan Clauss,fr FRA,DF,Lens,fr Ligue 1,28,1992,33.8,2194,66,427,819,985,61,2194,29,60,48.3,47,13,1147,130,Matches,5219ab4a
544,Carlos Clerc,es ESP,DF,Levante,es La Liga,29,1992,16.8,1023,51,373,458,207,15,1023,23,33,69.7,15,6,572,26,Matches,33a61a52
545,Tom Cleverley,eng ENG,MF,Watford,eng Premier League,31,1989,18.0,798,35,175,393,238,10,798,3,6,50.0,16,16,440,31,Matches,6cdd8245
546,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,30,1991,15.0,816,39,307,383,137,1,816,4,6,66.7,10,4,440,12,Matches,0442183b
547,Conor Coady,eng ENG,DF,Wolves,eng Premier League,28,1993,37.3,1968,415,1299,648,30,18,1968,1,1,100.0,6,1,1369,3,Matches,2928dca2
548,Marcus Coco,fr FRA,MFDF,Nantes,fr Ligue 1,25,1996,10.3,482,20,118,197,176,19,482,14,26,53.8,26,23,292,41,Matches,3010aefb
549,Coke,es ESP,DF,Levante,es La Liga,34,1987,1.3,85,8,40,25,22,3,85,2,3,66.7,1,0,39,1,Matches,6d8f8441
550,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,32,1988,29.5,1538,124,506,725,333,32,1538,34,49,69.4,30,20,711,47,Matches,0420d84f
551,Álex Collado,es ESP,MFFW,Granada,es La Liga,22,1999,11.3,543,13,82,239,232,18,543,14,38,36.8,29,19,307,27,Matches,85dace26
552,Ebrima Colley,gm GAM,FWMF,Spezia,it Serie A,21,2000,4.4,190,5,34,86,75,10,190,12,18,66.7,14,9,136,14,Matches,bf356094
553,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,28,1992,30.5,1789,300,1046,711,44,19,1789,3,3,100.0,11,1,1002,3,Matches,8b95acda
554,Nathan Collins,ie IRL,DF,Burnley,eng Premier League,20,2001,18.6,877,148,430,376,79,38,877,5,8,62.5,10,4,373,8,Matches,a8c19eb8
555,Kingsley Coman,fr FRA,MFFW,Bayern Munich,de Bundesliga,25,1996,15.1,914,11,70,316,541,107,914,48,85,56.5,51,29,733,145,Matches,042e8a49
556,Eray Cömert,ch SUI,DF,Valencia,es La Liga,23,1998,4.5,229,21,119,106,6,4,229,0,0,,3,0,143,1,Matches,15937e17
557,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,24,1996,29.8,1835,68,402,1137,325,58,1835,48,64,75.0,45,35,1175,45,Matches,5ae499d0
558,Diego Conde,es ESP,GK,Getafe,es La Liga,22,1998,0.1,6,5,6,0,0,0,6,0,0,,0,0,2,0,Matches,4eae5bc4
559,Aaron Connolly,ie IRL,FWMF,Brighton,eng Premier League,21,2000,1.7,33,0,0,13,20,4,33,0,2,0.0,2,2,22,6,Matches,27c01749
560,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,1987,36.9,1572,1199,1557,15,0,0,1572,0,0,,0,0,782,0,Matches,8cabdc1e
561,Abdu Conté,pt POR,DF,Troyes,fr Ligue 1,23,1998,15.0,719,24,261,276,192,14,719,11,19,57.9,21,8,423,38,Matches,cfa49cc1
562,Andrea Conti,it ITA,DFMF,Sampdoria,it Serie A,27,1994,2.6,111,11,41,42,29,7,111,2,3,66.7,4,0,64,7,Matches,8fef5412
563,Andrea Conti,it ITA,DF,Milan,it Serie A,27,1994,0.1,6,0,3,2,1,0,6,0,0,,0,0,3,0,Matches,8fef5412
564,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,29,1991,20.2,1401,151,855,528,27,13,1401,3,4,75.0,9,1,820,1,Matches,dc64b8b3
565,Lucas Copado,de GER,MF,Bayern Munich,de Bundesliga,17,2004,0.2,8,0,2,2,4,2,8,1,1,100.0,1,0,3,0,Matches,8356931a
566,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,17,2003,2.8,126,14,62,56,10,4,126,0,0,,2,1,68,1,Matches,22ae86f9
567,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,30,1991,9.2,585,19,96,303,194,21,585,17,20,85.0,13,17,415,40,Matches,a6951bf8
568,Sébastien Corchia,fr FRA,DFMF,Nantes,fr Ligue 1,30,1990,14.7,726,40,182,265,284,12,726,9,28,32.1,21,8,325,30,Matches,0e7ccfc4
569,Sergio Córdova,ve VEN,FWMF,Augsburg,de Bundesliga,23,1997,3.6,93,4,12,36,47,16,93,2,8,25.0,8,9,63,11,Matches,229cd98a
570,Jack Cork,eng ENG,MF,Burnley,eng Premier League,32,1989,18.6,738,39,130,489,121,10,738,7,13,53.8,18,20,388,11,Matches,74e12f1e
571,Maxwel Cornet,ci CIV,FWMF,Burnley,eng Premier League,24,1996,19.6,652,17,94,207,356,80,651,13,38,34.2,61,33,415,96,Matches,beb391dd
572,Maxwel Cornet,ci CIV,DF,Lyon,fr Ligue 1,24,1996,0.7,44,2,9,23,12,0,44,1,1,100.0,0,1,32,1,Matches,beb391dd
573,Jesús Corona,mx MEX,FWMF,Sevilla,es La Liga,28,1993,12.9,729,6,107,277,349,50,729,19,44,43.2,36,29,557,65,Matches,fb938d24
574,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,26,1995,20.6,888,6,85,338,476,127,888,32,55,58.2,73,48,669,129,Matches,01eb744d
575,Joaquín Correa,ar ARG,FW,Inter,it Serie A,26,1994,11.4,488,4,21,177,302,84,488,17,40,42.5,28,12,379,84,Matches,45b9b619
576,Thierry Correia,pt POR,DF,Valencia,es La Liga,22,1999,15.7,824,38,276,317,237,13,824,11,22,50.0,28,8,380,32,Matches,c78b352d
577,Danny da Costa,de GER,DFMF,Eint Frankfurt,de Bundesliga,28,1993,8.1,396,28,117,174,111,9,396,5,11,45.5,11,2,171,12,Matches,5ddb8f9f
578,David Pereira da Costa,pt POR,MFFW,Lens,fr Ligue 1,20,2001,16.3,935,7,106,460,380,56,935,24,37,64.9,29,24,744,78,Matches,59948ef7
579,Hélder Costa,ao ANG,MF,Leeds United,eng Premier League,27,1994,0.2,9,0,2,4,3,0,9,0,0,,1,0,6,0,Matches,f13d02a6
580,Hélder Costa,ao ANG,MFFW,Valencia,es La Liga,27,1994,12.4,451,12,96,143,221,31,451,23,58,39.7,35,22,274,44,Matches,f13d02a6
581,Jaume Costa,es ESP,DF,Mallorca,es La Liga,33,1988,20.3,1182,71,340,473,381,19,1182,9,14,64.3,15,6,606,51,Matches,808d48f3
582,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25.0,965,776,950,15,0,0,965,0,0,,1,1,396,0,Matches,2434f24a
583,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,28,1992,24.5,1662,110,451,698,531,30,1662,15,23,65.2,30,15,883,53,Matches,fdf3cb77
584,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,29,1991,9.4,294,16,21,134,140,47,294,6,10,60.0,29,9,222,30,Matches,9980269a
585,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,25,1996,25.9,1137,64,278,661,227,8,1137,35,64,54.7,35,20,628,31,Matches,85a44ecc
586,Mamadou Coulibaly,sn SEN,MF,Salernitana,it Serie A,22,1999,9.0,439,11,94,225,131,12,439,18,26,69.2,27,6,254,22,Matches,c976160c
587,Tanguy Coulibaly,fr FRA,FWMF,Stuttgart,de Bundesliga,20,2001,12.0,491,10,99,210,194,25,491,22,43,51.2,43,15,303,62,Matches,05ba9d7c
588,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,1992,36.0,1203,1037,1197,6,0,0,1203,0,0,,1,0,659,0,Matches,1840e36d
589,Philippe Coutinho,br BRA,MFFW,Aston Villa,eng Premier League,29,1992,14.8,809,7,56,438,328,47,809,21,43,48.8,35,20,627,47,Matches,0ef89a37
590,Philippe Coutinho,br BRA,MFFW,Barcelona,es La Liga,29,1992,5.6,399,4,24,159,220,23,398,13,19,68.4,19,16,346,38,Matches,0ef89a37
591,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,22,1999,30.8,1705,162,828,700,202,29,1705,18,33,54.5,48,14,1015,20,Matches,8f325097
592,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,1994,35.0,1305,1064,1295,11,0,0,1305,0,0,,1,1,486,0,Matches,f554e29b
593,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,31,1989,30.3,2282,125,669,1070,561,22,2282,8,17,47.1,14,4,1495,35,Matches,4f974391
594,Charlie Cresswell,eng ENG,DF,Leeds United,eng Premier League,18,2002,1.6,123,11,71,49,3,1,123,0,0,,1,0,77,0,Matches,4654e5f5
595,Domenico Criscito,it ITA,DF,Genoa,it Serie A,34,1986,18.0,1200,109,433,561,222,14,1193,8,11,72.7,13,9,647,9,Matches,35dd6d80
596,Bryan Cristante,it ITA,MF,Roma,it Serie A,26,1995,29.8,2104,85,459,1392,267,40,2104,23,30,76.7,19,15,1424,21,Matches,16657b95
597,Cristo,es ESP,DF,Real Sociedad,es La Liga,21,2000,0.2,14,0,3,6,5,0,14,0,2,0.0,0,0,8,1,Matches,ad81ba78
598,Enzo Crivelli,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,26,1995,1.1,36,1,3,16,17,4,36,2,4,50.0,3,1,24,9,Matches,06f33dc8
599,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,25,1995,20.9,931,59,246,438,263,34,931,18,38,47.4,41,17,568,40,Matches,22cd43d2
600,Giovanni Crociata,it ITA,FW,Empoli,it Serie A,23,1997,0.2,11,0,0,5,6,2,11,0,0,,0,1,8,0,Matches,8c964914
601,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,29,1992,21.5,1091,97,457,576,70,6,1091,10,13,76.9,10,11,638,3,Matches,a56da3ba
602,Juan Cuadrado,co COL,DFMF,Juventus,it Serie A,33,1988,27.6,2158,59,491,1036,656,68,2157,46,74,62.2,46,15,1536,90,Matches,0ab1f153
603,Cucho,co COL,MFFW,Watford,eng Premier League,22,1999,12.7,536,19,79,195,268,37,536,18,39,46.2,23,14,348,52,Matches,71b47ab9
604,Marc Cucurella,es ESP,DF,Brighton,eng Premier League,23,1998,34.3,2669,119,675,1184,833,51,2669,28,55,50.9,40,15,1628,100,Matches,1daec722
605,Marc Cucurella,es ESP,MFDF,Getafe,es La Liga,23,1998,0.3,25,0,2,7,18,2,25,1,1,100.0,0,0,14,2,Matches,1daec722
606,Jorge Cuenca,es ESP,DF,Getafe,es La Liga,21,1999,29.8,1438,177,746,653,48,26,1438,3,6,50.0,14,3,713,3,Matches,0abc51f2
607,Mickaël Cuisance,fr FRA,MF,Venezia,it Serie A,21,1999,10.2,489,5,104,258,136,5,489,19,35,54.3,13,26,297,23,Matches,5722eced
608,Mickaël Cuisance,fr FRA,MF,Bayern Munich,de Bundesliga,21,1999,0.1,13,0,2,8,3,1,13,1,1,100.0,0,2,10,1,Matches,5722eced
609,Luke Cundle,eng ENG,MF,Wolves,eng Premier League,19,2002,2.0,116,3,30,68,18,1,116,0,1,0.0,2,1,86,2,Matches,cc3b8e78
610,Matheus Cunha,br BRA,FW,Atlético Madrid,es La Liga,22,1999,11.8,375,12,37,163,180,58,375,7,12,58.3,33,12,241,61,Matches,dc62b55d
611,Matheus Cunha,br BRA,FW,Hertha BSC,de Bundesliga,22,1999,0.7,20,0,2,11,7,3,20,1,2,50.0,3,2,11,1,Matches,dc62b55d
612,Patrick Cutrone,it ITA,FW,Empoli,it Serie A,23,1998,15.6,388,3,18,132,246,78,388,9,18,50.0,37,18,288,118,Matches,a4fe8cda
613,Wylan Cyprien,fr FRA,MF,Nantes,fr Ligue 1,26,1995,16.6,1061,22,195,642,241,12,1061,15,21,71.4,15,17,707,30,Matches,3e092724
614,Rafael Czichos,de GER,DF,Köln,de Bundesliga,31,1990,15.6,1226,143,652,553,31,15,1226,4,6,66.7,8,0,790,2,Matches,b0a0698b
615,Lennart-Marten Czyborra,de GER,DF,Arminia,de Bundesliga,22,1999,1.5,63,4,19,27,19,0,63,1,4,25.0,1,3,25,1,Matches,7ba1f1ef
616,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,32,1988,11.1,868,83,401,375,97,23,868,4,6,66.7,16,5,627,22,Matches,44eb9093
617,Lucas Da Cunha,fr FRA,MF,Nice,fr Ligue 1,20,2001,4.4,214,4,19,97,101,14,214,9,15,60.0,15,5,134,12,Matches,007faf7a
618,Lucas Da Cunha,fr FRA,FWMF,Clermont Foot,fr Ligue 1,20,2001,9.3,428,6,60,200,173,25,428,19,40,47.5,17,24,309,48,Matches,007faf7a
619,Damien Da Silva,fr FRA,DF,Lyon,fr Ligue 1,33,1988,12.5,1027,107,476,516,37,17,1027,1,2,50.0,6,0,758,1,Matches,1ec7e1c5
620,Moanes Dabbur,il ISR,FWMF,Hoffenheim,de Bundesliga,29,1992,14.6,676,5,58,326,301,75,676,17,45,37.8,41,36,480,99,Matches,eac044ad
621,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,22,1998,1.8,153,4,16,77,60,5,153,2,4,50.0,1,3,123,4,Matches,29c02c9f
622,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,23,1998,2.0,83,69,83,0,0,0,83,0,0,,0,0,42,0,Matches,dee3013b
623,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,25,1996,18.4,1259,43,236,743,294,24,1259,26,41,63.4,31,13,867,36,Matches,db4ed67b
624,Patson Daka,zm ZAM,FW,Leicester City,eng Premier League,22,1998,12.9,362,9,30,167,168,50,362,3,16,18.8,42,18,242,62,Matches,ca45605e
625,Stuart Dallas,nir NIR,DFMF,Leeds United,eng Premier League,30,1991,32.4,2037,102,659,916,500,28,2037,29,43,67.4,39,25,1110,49,Matches,67ca8566
626,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,22,1999,20.0,1413,87,448,645,334,27,1413,17,25,68.0,25,8,827,37,Matches,d9565625
627,Mikkel Damsgaard,dk DEN,MF,Sampdoria,it Serie A,21,2000,6.4,351,9,58,155,147,23,351,16,25,64.0,12,10,234,31,Matches,215f3907
628,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,20,2001,14.4,1013,73,426,517,83,10,1013,6,10,60.0,13,2,616,11,Matches,7ef972c3
629,Danilo,br BRA,DFMF,Juventus,it Serie A,30,1991,21.0,1644,105,561,903,197,15,1644,4,9,44.4,9,4,1096,17,Matches,94b2001f
630,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,22,1998,31.0,2170,228,1015,1131,40,17,2170,8,10,80.0,15,4,1434,0,Matches,6e33125f
631,Dante,br BRA,DF,Nice,fr Ligue 1,37,1983,31.9,2681,249,1163,1475,53,24,2681,6,7,85.7,13,1,2016,0,Matches,fd2bc67d
632,Ebrima Darboe,gm GAM,MF,Roma,it Serie A,20,2001,0.7,45,1,5,34,6,1,45,0,0,,1,0,32,2,Matches,cf043a33
633,Márton Dárdai,de GER,DF,Hertha BSC,de Bundesliga,19,2002,8.4,479,48,290,164,27,6,479,3,3,100.0,5,4,281,1,Matches,41bff4fa
634,Sergi Darder,es ESP,MF,Espanyol,es La Liga,27,1993,34.7,2007,60,388,1187,463,39,2007,53,77,68.8,38,32,1525,55,Matches,070a3904
635,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,30,1990,19.8,1146,32,254,635,264,19,1146,18,29,62.1,37,23,735,49,Matches,3eb0f2df
636,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8.0,266,214,262,4,0,0,266,0,0,,0,0,92,0,Matches,cde3309f
637,Matteo Darmian,it ITA,DF,Inter,it Serie A,31,1989,16.7,795,36,242,309,249,29,795,4,9,44.4,15,2,479,49,Matches,96e0490d
638,Josh Dasilva,eng ENG,MFFW,Brentford,eng Premier League,22,1998,2.9,122,10,28,53,41,6,122,7,11,63.6,5,5,65,6,Matches,60344e4f
639,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,21,2000,31.2,960,21,90,431,447,138,957,26,54,48.1,95,36,693,176,Matches,ce50fd99
640,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,20,2000,19.3,1572,46,358,666,587,82,1572,80,124,64.5,47,24,1022,103,Matches,d781d855
641,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,28,1993,28.2,1875,140,722,905,264,30,1875,7,11,63.6,22,10,1340,38,Matches,44781702
642,Tom Davies,eng ENG,MF,Everton,eng Premier League,23,1998,2.6,121,9,30,61,32,9,121,2,3,66.7,6,1,68,4,Matches,9228b07c
643,Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,23,1998,0.1,5,0,0,3,2,0,5,0,0,,2,1,7,1,Matches,9deaf2c8
644,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,26,1995,13.3,753,80,299,377,83,16,753,5,5,100.0,7,2,435,9,Matches,16bb656a
645,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,31,1990,30.6,1603,271,842,689,74,46,1603,4,4,100.0,10,5,968,3,Matches,3e9e06cb
646,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,30,1991,24.5,1796,25,128,682,1006,103,1796,31,55,56.4,40,20,1341,138,Matches,e46012d4
647,Konrad De La Fuente,us USA,FWMF,Marseille,fr Ligue 1,20,2001,8.7,325,3,38,69,227,46,325,21,37,56.8,17,21,245,44,Matches,4b77bb89
648,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,34,1987,2.0,97,13,69,29,0,0,97,1,1,100.0,2,0,44,0,Matches,952a03fe
649,Tommaso De Nipoti,it ITA,FW,Atalanta,it Serie A,18,2003,0.1,2,0,0,2,0,0,2,0,0,,1,0,1,0,Matches,7f9d956a
650,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,27,1994,23.9,1641,29,276,978,409,19,1641,25,38,65.8,35,31,1156,39,Matches,162efffd
651,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,28,1992,13.0,787,43,242,363,192,13,787,9,15,60.0,12,3,448,23,Matches,ae4e2852
652,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,33,1988,25.5,1562,86,474,748,351,41,1562,6,18,33.3,32,17,981,41,Matches,e74f0e59
653,Saulo Decarli,ch SUI,DF,Bochum,de Bundesliga,29,1992,0.1,7,0,1,4,2,1,7,0,0,,0,0,5,0,Matches,41df88b8
654,Troy Deeney,eng ENG,FW,Watford,eng Premier League,33,1988,0.3,12,2,2,1,9,5,12,0,0,,1,0,10,5,Matches,82e34b69
655,Grégoire Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,30,1991,15.1,543,13,51,249,251,48,543,20,37,54.1,39,32,402,89,Matches,854ee61a
656,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,25,1995,23.7,1028,70,302,535,203,23,1028,6,13,46.2,30,11,553,54,Matches,7f267d66
657,Romain Del Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,25,1996,0.3,21,0,1,14,7,1,21,2,3,66.7,1,1,15,1,Matches,0be95d34
658,Romain Del Castillo,fr FRA,MFFW,Brest,fr Ligue 1,25,1996,10.8,591,3,62,275,264,25,591,20,43,46.5,48,23,403,58,Matches,0be95d34
659,Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,29,1992,25.7,1418,53,384,637,422,27,1418,23,51,45.1,58,17,836,80,Matches,8332db56
660,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,29,1991,17.2,966,63,281,536,154,24,966,6,9,66.7,11,6,631,17,Matches,fe641c1a
661,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,29,1991,0.2,13,0,2,10,1,0,13,0,1,0.0,0,0,8,0,Matches,fe641c1a
662,Liam Delap,eng ENG,FW,Manchester City,eng Premier League,18,2003,0.1,1,0,0,1,0,0,1,0,0,,0,0,1,0,Matches,dd897ee7
663,Sacha Delaye,fr FRA,MF,Montpellier,fr Ligue 1,19,2002,2.9,110,2,21,48,41,7,110,3,3,100.0,7,3,63,10,Matches,e4448c8c
664,Filippo Delli Carri,it ITA,DF,Salernitana,it Serie A,22,1999,3.7,170,21,85,61,26,6,170,1,1,100.0,6,1,80,5,Matches,d2e8fd9b
665,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,29,1991,27.2,974,18,56,379,551,132,971,18,46,39.1,67,24,740,188,Matches,d33c706e
666,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,29,1991,3.0,134,4,9,58,67,18,134,1,1,100.0,10,2,100,16,Matches,d33c706e
667,Fabian Delph,eng ENG,MF,Everton,eng Premier League,31,1989,7.4,383,20,105,231,50,0,383,5,7,71.4,8,0,227,3,Matches,111c3236
668,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,25,1996,24.5,746,35,64,290,394,148,741,25,42,59.5,94,44,523,159,Matches,e7986081
669,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,24,1997,15.7,1004,5,61,316,637,84,1004,59,90,65.6,37,28,803,95,Matches,b19db005
670,Yusuf Demir,at AUT,FWMF,Barcelona,es La Liga,18,2003,2.1,111,2,16,29,68,9,111,5,9,55.6,8,5,79,12,Matches,fa265f6d
671,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,23,1998,21.3,1061,130,549,463,60,33,1061,2,4,50.0,15,5,543,7,Matches,e3cceee6
672,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,28,1993,22.8,1670,74,358,930,397,33,1669,28,42,66.7,34,23,1038,38,Matches,54b4dc4e
673,Ermedin Demirović,ba BIH,FW,Freiburg,de Bundesliga,23,1998,9.7,299,8,33,101,169,54,299,10,19,52.6,31,14,191,64,Matches,ed79b7d3
674,Diego Demme,de GER,MF,Napoli,it Serie A,29,1991,7.7,661,17,153,408,106,4,661,3,4,75.0,12,5,515,4,Matches,dc3fa3b5
