Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,10,2.56,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches,7587446d
18,Amine Adli,fr FRA,MFFW,Leverkusen,de Bundesliga,21,2000,14.0,47,3.37,37,1,3,4,2,0,6,0.43,5,0,0,1,0,0,Matches,dcfb17f4
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,120,4.78,80,22,6,3,5,4,18,0.72,13,3,1,0,1,0,Matches,26777636
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,10,2.05,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f9c927de
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,23,3.10,14,0,2,2,5,0,2,0.27,1,0,1,0,0,0,Matches,0154d290
22,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,25,1996,18.0,33,1.84,25,3,2,0,2,1,3,0.17,2,0,1,0,0,0,Matches,355c883a
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a2c1a8d3
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,35,1.69,28,1,1,4,1,0,2,0.10,2,0,0,0,0,0,Matches,8bc8829a
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,40,2.91,22,0,6,4,4,4,3,0.22,1,0,0,0,0,2,Matches,46fa7204
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,15,0.49,10,0,0,4,1,0,4,0.13,3,0,0,0,1,0,Matches,288e1e13
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,3,1.78,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4d034881
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,31,1.30,23,1,1,1,2,3,3,0.13,3,0,0,0,0,0,Matches,3dd738a1
29,Álvaro Aguirre,es ESP,MF,Rayo Vallecano,es La Liga,21,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,93b054dc
30,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,de Bundesliga,19,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a6c58494
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,21,1.40,16,1,0,2,0,2,2,0.13,2,0,0,0,0,0,Matches,eab957a3
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,24,2.15,19,0,1,1,1,2,3,0.27,3,0,0,0,0,0,Matches,48b28bfd
